listing_a,listing_b,category,comparable,confidence,reason
Reese's Peanut Butter Cups Miniatures Milk Chocolate 150g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
Reese's Peanut Butter Cups Miniatures Milk Chocolate 150g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Riverina Fresh Full Cream Milk 2L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Riverina Fresh Full Cream Milk 2L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Riverina Fresh Full Cream Milk 2L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Riverina Fresh Full Cream Milk 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Riverina Fresh Full Cream Milk 2L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Riverina Fresh Lactose Free Full Cream Milk 2L,Zymil Lactose Free Full Cream Milk,milk,true,95,Strong match: 4 shared keywords
Riverina Fresh Lactose Free Full Cream Milk 2L,Lactose Free Full Cream Milk,milk,true,95,Strong match: 4 shared keywords
Woolworths Free From Lactose Milk Full Cream 2L,Farmhouse Gold Full Cream Milk,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Free From Lactose Milk Full Cream 2L,Full Cream Milk,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Free From Lactose Milk Full Cream 2L,Dairy Full Cream Milk,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Free From Lactose Milk Full Cream 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Free From Lactose Milk Full Cream 2L,Fresh Full Cream Milk,milk,false,0,"Variant mismatch: ""free from lactose"""
KitKat Milk Chocolate Mini Bars 11 pack,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
KitKat Milk Chocolate Mini Bars 11 pack,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""mini"""
Woolworths Milk Chocolate Almonds 190g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""almond"""
Woolworths Milk Chocolate Almonds 190g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""almond"""
Cadbury Dairy Milk Chocolate Share Mini Bars 12 pack 144g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
Cadbury Dairy Milk Chocolate Share Mini Bars 12 pack 144g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Cadbury Dairy Milk Chocolate Share Mini Bars 12 pack 144g,Dairy Full Cream Milk,milk,false,0,"Variant mismatch: ""full cream"""
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""full cream"""
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Cadbury Dairy Milk Chocolate Caramello Koala 12 pack 180g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""caramel"""
Cadbury Dairy Milk Chocolate Caramello Koala 12 pack 180g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""caramel"""
Cadbury Dairy Milk Chocolate Caramello Koala 12 pack 180g,Dairy Full Cream Milk,milk,false,0,"Variant mismatch: ""full cream"""
The Complete Dairy Full Cream Milk 1L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
The Complete Dairy Full Cream Milk 1L,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""full cream"""
The Complete Dairy Full Cream Milk 1L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
The Complete Dairy Full Cream Milk 1L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
The Complete Dairy Full Cream Milk 1L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
The Complete Dairy Full Cream Milk 1L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Farmhouse Gold Full Cream Milk 1.5L,Farmhouse Gold Full Cream Milk,milk,true,95,Strong match: 4 shared keywords
Farmhouse Gold Full Cream Milk 1.5L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Farmhouse Gold Full Cream Milk 1.5L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Farmhouse Gold Full Cream Milk 1.5L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Farmhouse Gold Full Cream Milk 1.5L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 1L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 1L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 1L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 1L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 1L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
M&M's Peanut Milk Chocolate Snack & Share Bag 180g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
M&M's Peanut Milk Chocolate Snack & Share Bag 180g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Pauls Zymil Lactose Free Full Cream Milk 3L,Zymil Lactose Free Full Cream Milk,milk,true,95,Strong match: 5 shared keywords
Pauls Zymil Lactose Free Full Cream Milk 3L,Lactose Free Full Cream Milk,milk,true,95,Strong match: 4 shared keywords
Norco Full Cream Milk 500mL,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 500mL,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 500mL,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 500mL,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 500mL,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 2L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 2L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 2L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 2L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Cadbury Twirl Milk Chocolate Mini Bars 12 pack,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
Cadbury Twirl Milk Chocolate Mini Bars 12 pack,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Farmhouse Gold Unhomogenised Milk 1.5L,Farmhouse Gold Full Cream Milk,milk,false,0,"Variant mismatch: ""full cream"""
Farmhouse Gold Full Cream Milk 750mL,Farmhouse Gold Full Cream Milk,milk,true,95,Strong match: 4 shared keywords
Farmhouse Gold Full Cream Milk 750mL,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Farmhouse Gold Full Cream Milk 750mL,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Farmhouse Gold Full Cream Milk 750mL,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Farmhouse Gold Full Cream Milk 750mL,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 3L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 3L,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""full cream"""
Dairy Farmers Full Cream Milk 3L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 3L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 3L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 3L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Cadbury Dairy Milk Marvellous Creation Chocolate Share Pack 10 Pieces 160g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
Cadbury Dairy Milk Marvellous Creation Chocolate Share Pack 10 Pieces 160g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Cadbury Dairy Milk Marvellous Creation Chocolate Share Pack 10 Pieces 160g,Dairy Full Cream Milk,milk,false,0,"Variant mismatch: ""full cream"""
Cadbury Picnic Milk Chocolate Mini Bars 12 pack,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
Cadbury Picnic Milk Chocolate Mini Bars 12 pack,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Maltesers Milk Chocolate Snack & Share Bag 140g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
Maltesers Milk Chocolate Snack & Share Bag 140g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Cadbury Dairy Milk Furry Friends Chocolate Multipack 100g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
