listing_a,listing_b,category,comparable,confidence,reason
Reese's Peanut Butter Cups Miniatures Milk Chocolate 150g,Dairy Milk Block Chocolate,milk,,,
Reese's Peanut Butter Cups Miniatures Milk Chocolate 150g,Kit Kat Chocolate Milk 4 Finger Bar,milk,,,
Riverina Fresh Full Cream Milk 2L,Farmhouse Gold Full Cream Milk,milk,,,
Riverina Fresh Full Cream Milk 2L,Full Cream Milk,milk,,,
Riverina Fresh Full Cream Milk 2L,Dairy Full Cream Milk,milk,,,
Riverina Fresh Full Cream Milk 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,,,
Riverina Fresh Full Cream Milk 2L,Fresh Full Cream Milk,milk,,,
Riverina Fresh Lactose Free Full Cream Milk 2L,Zymil Lactose Free Full Cream Milk,milk,,,
Riverina Fresh Lactose Free Full Cream Milk 2L,Lactose Free Full Cream Milk,milk,,,
Woolworths Free From Lactose Milk Full Cream 2L,Farmhouse Gold Full Cream Milk,milk,,,
Woolworths Free From Lactose Milk Full Cream 2L,Full Cream Milk,milk,,,
Woolworths Free From Lactose Milk Full Cream 2L,Dairy Full Cream Milk,milk,,,
Woolworths Free From Lactose Milk Full Cream 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,,,
Woolworths Free From Lactose Milk Full Cream 2L,Fresh Full Cream Milk,milk,,,
KitKat Milk Chocolate Mini Bars 11 pack,Dairy Milk Block Chocolate,milk,,,
KitKat Milk Chocolate Mini Bars 11 pack,Kit Kat Chocolate Milk 4 Finger Bar,milk,,,
Woolworths Milk Chocolate Almonds 190g,Dairy Milk Block Chocolate,milk,,,
Woolworths Milk Chocolate Almonds 190g,Kit Kat Chocolate Milk 4 Finger Bar,milk,,,
Cadbury Dairy Milk Chocolate Share Mini Bars 12 pack 144g,Dairy Milk Block Chocolate,milk,,,
Cadbury Dairy Milk Chocolate Share Mini Bars 12 pack 144g,Kit Kat Chocolate Milk 4 Finger Bar,milk,,,
Cadbury Dairy Milk Chocolate Share Mini Bars 12 pack 144g,Dairy Full Cream Milk,milk,,,
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Farmhouse Gold Full Cream Milk,milk,,,
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Dairy Milk Block Chocolate,milk,,,
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Full Cream Milk,milk,,,
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Dairy Full Cream Milk,milk,,,
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,,,
Hunter Belle Dairy Co Full Cream Milk Unhomogenised 2L,Fresh Full Cream Milk,milk,,,
Cadbury Dairy Milk Chocolate Caramello Koala 12 pack 180g,Dairy Milk Block Chocolate,milk,,,
Cadbury Dairy Milk Chocolate Caramello Koala 12 pack 180g,Kit Kat Chocolate Milk 4 Finger Bar,milk,,,
Cadbury Dairy Milk Chocolate Caramello Koala 12 pack 180g,Dairy Full Cream Milk,milk,,,
The Complete Dairy Full Cream Milk 1L,Farmhouse Gold Full Cream Milk,milk,,,
The Complete Dairy Full Cream Milk 1L,Dairy Milk Block Chocolate,milk,,,
The Complete Dairy Full Cream Milk 1L,Full Cream Milk,milk,,,
The Complete Dairy Full Cream Milk 1L,Dairy Full Cream Milk,milk,,,
The Complete Dairy Full Cream Milk 1L,Smarter White Milk 2% Fat Full Cream Taste,milk,,,
The Complete Dairy Full Cream Milk 1L,Fresh Full Cream Milk,milk,,,
Farmhouse Gold Full Cream Milk 1.5L,Farmhouse Gold Full Cream Milk,milk,,,
Farmhouse Gold Full Cream Milk 1.5L,Full Cream Milk,milk,,,
Farmhouse Gold Full Cream Milk 1.5L,Dairy Full Cream Milk,milk,,,
Farmhouse Gold Full Cream Milk 1.5L,Smarter White Milk 2% Fat Full Cream Taste,milk,,,
Farmhouse Gold Full Cream Milk 1.5L,Fresh Full Cream Milk,milk,,,
Woolworths Full Cream Milk 1L,Farmhouse Gold Full Cream Milk,milk,,,
Woolworths Full Cream Milk 1L,Full Cream Milk,milk,,,
Woolworths Full Cream Milk 1L,Dairy Full Cream Milk,milk,,,
Woolworths Full Cream Milk 1L,Smarter White Milk 2% Fat Full Cream Taste,milk,,,
Woolworths Full Cream Milk 1L,Fresh Full Cream Milk,milk,,,
M&M's Peanut Milk Chocolate Snack & Share Bag 180g,Dairy Milk Block Chocolate,milk,,,
M&M's Peanut Milk Chocolate Snack & Share Bag 180g,Kit Kat Chocolate Milk 4 Finger Bar,milk,,,
Pauls Zymil Lactose Free Full Cream Milk 3L,Zymil Lactose Free Full Cream Milk,milk,,,
Pauls Zymil Lactose Free Full Cream Milk 3L,Lactose Free Full Cream Milk,milk,,,
Norco Full Cream Milk 500mL,Farmhouse Gold Full Cream Milk,milk,,,
Norco Full Cream Milk 500mL,Full Cream Milk,milk,,,
Norco Full Cream Milk 500mL,Dairy Full Cream Milk,milk,,,
Norco Full Cream Milk 500mL,Smarter White Milk 2% Fat Full Cream Taste,milk,,,
Norco Full Cream Milk 500mL,Fresh Full Cream Milk,milk,,,
Norco Full Cream Milk 2L,Farmhouse Gold Full Cream Milk,milk,,,
Norco Full Cream Milk 2L,Full Cream Milk,milk,,,
Norco Full Cream Milk 2L,Dairy Full Cream Milk,milk,,,
Norco Full Cream Milk 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,,,
Norco Full Cream Milk 2L,Fresh Full Cream Milk,milk,,,
Cadbury Twirl Milk Chocolate Mini Bars 12 pack,Dairy Milk Block Chocolate,milk,,,
Cadbury Twirl Milk Chocolate Mini Bars 12 pack,Kit Kat Chocolate Milk 4 Finger Bar,milk,,,
Farmhouse Gold Unhomogenised Milk 1.5L,Farmhouse Gold Full Cream Milk,milk,,,
Farmhouse Gold Full Cream Milk 750mL,Farmhouse Gold Full Cream Milk,milk,,,
Farmhouse Gold Full Cream Milk 750mL,Full Cream Milk,milk,,,
Farmhouse Gold Full Cream Milk 750mL,Dairy Full Cream Milk,milk,,,
